-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(16)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      94.209ms       133.50%      94.209ms      94.209ms             1  
                 execute_context_7(112)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      40.761ms        57.76%      40.761ms      40.761ms             1  
                                               aten::mm         6.75%      12.996ms         9.59%      18.473ms      42.467us      37.263ms        52.80%      37.263ms      85.663us           435  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      34.999ms        49.59%      34.999ms      34.999ms             1  
                                _vllm_fa2_C::varlen_fwd         1.28%       2.456ms         4.25%       8.175ms      75.693us      29.143ms        41.30%      29.432ms     272.514us           108  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      24.996ms        35.42%      24.996ms     347.162us            72  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      10.794ms        15.30%      10.794ms     149.913us            72  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       8.064ms        11.43%       8.064ms      55.997us           144  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       6.291ms         8.91%       6.291ms     174.751us            36  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       5.563ms         7.88%       5.563ms      74.175us            75  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.792ms         5.37%       3.792ms     105.346us            36  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       3.657ms         5.18%       3.657ms     101.583us            36  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       2.895ms         4.10%       2.895ms      40.208us            72  
                                 _C::fused_add_rms_norm         0.81%       1.557ms         2.03%       3.907ms      18.086us       1.021ms         1.45%       1.021ms       4.726us           216  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.021ms         1.45%       1.021ms       4.726us           216  
                                           _C::rms_norm         0.71%       1.370ms         2.09%       4.028ms      18.390us     904.725us         1.28%     904.725us       4.131us           219  
