-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(16)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     103.439ms       153.26%     103.439ms     103.439ms             1  
                 execute_context_7(112)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      46.527ms        68.94%      46.527ms      46.527ms             1  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      45.513ms        67.43%      45.513ms      45.513ms             1  
                                               aten::mm         5.48%      11.953ms         7.77%      16.951ms      38.967us      37.633ms        55.76%      37.633ms      86.513us           435  
turboquant_v5::decode_v5_from_cache_paged_splitkv_ws...         0.17%     374.981us         0.62%       1.351ms      37.520us      20.611ms        30.54%      20.611ms     572.533us            36  
void flashinfer::TurboQuantContiguousDecodeKernelV5T...         0.00%       0.000us         0.00%       0.000us       0.000us      20.401ms        30.23%      20.401ms     566.684us            36  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      10.759ms        15.94%      10.759ms     149.437us            72  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       8.223ms        12.18%       8.223ms      57.104us           144  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       6.336ms         9.39%       6.336ms     175.991us            36  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       5.579ms         8.27%       5.579ms      74.385us            75  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       3.650ms         5.41%       3.650ms     101.384us            36  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       3.086ms         4.57%       3.086ms      42.865us            72  
                                            aten::copy_         2.33%       5.084ms         5.37%      11.712ms      19.390us       2.219ms         3.29%       2.219ms       3.674us           604  
                                _vllm_fa2_C::varlen_fwd         0.70%       1.538ms         2.03%       4.431ms      61.542us       1.242ms         1.84%       1.242ms      17.246us            72  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.242ms         1.84%       1.242ms      17.246us            72  
                                 _C::fused_add_rms_norm         0.63%       1.375ms         1.58%       3.439ms      15.920us       1.015ms         1.50%       1.015ms       4.699us           216  
