-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.546s       200.86%        4.546s      36.081ms           126  
                                               aten::mm         8.33%     390.473ms        12.51%     586.111ms      31.334us        1.520s        67.14%        1.520s      81.264us         18705  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     689.296ms        30.46%     689.296ms     149.587us          4608  
                                _vllm_fa2_C::varlen_fwd         3.01%     140.794ms        12.51%     585.959ms     126.175us     560.183ms        24.75%     597.647ms     128.692us          4644  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     516.772ms        22.83%     516.772ms      56.073us          9216  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     503.754ms        22.26%     503.754ms     110.182us          4572  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     300.758ms        13.29%     300.758ms      63.491us          4737  
                  execute_context_1(16)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      83.373ms         3.68%      83.373ms      83.373ms             1  
                                            aten::copy_         1.99%      93.021ms         4.18%     196.018ms      17.081us      43.133ms         1.91%      43.134ms       3.759us         11476  
                 execute_context_7(112)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      39.774ms         1.76%      39.774ms      39.774ms             1  
                                 _C::fused_add_rms_norm         1.01%      47.540ms         2.73%     127.778ms      13.757us      39.592ms         1.75%      39.592ms       4.263us          9288  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      39.592ms         1.75%      39.592ms       4.263us          9288  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      37.464ms         1.66%      37.464ms       4.097us          9144  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      36.457ms         1.61%      36.457ms      36.457ms             1  
                                           _C::rms_norm         0.85%      39.696ms         2.65%     124.359ms      13.206us      32.210ms         1.42%      32.210ms       3.420us          9417  
void vllm::rms_norm_kernel<c10::Half, 8, 3>(c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us      31.790ms         1.40%      31.790ms       3.423us          9288  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      31.136ms         1.38%      31.136ms       6.864us          4536  
