-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        5.745s       126.52%        5.745s      45.593ms           126  
turboquant_v5::decode_v5_from_cache_paged_splitkv_ws...         0.80%      47.222ms         3.14%     184.643ms      40.386us        2.638s        58.10%        2.640s     577.449us          4572  
void flashinfer::TurboQuantContiguousDecodeKernelV5T...         0.00%       0.000us         0.00%       0.000us       0.000us        2.611s        57.50%        2.611s     571.109us          4572  
                                               aten::mm         6.41%     377.362ms         9.40%     553.280ms      29.579us        1.522s        33.53%        1.522s      81.387us         18705  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     687.330ms        15.14%     687.330ms     149.160us          4608  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     522.136ms        11.50%     522.136ms      56.655us          9216  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     299.797ms         6.60%     299.797ms      63.288us          4737  
                  execute_context_1(16)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.613ms         2.33%     105.613ms     105.613ms             1  
                                            aten::copy_         2.78%     163.785ms         6.59%     387.715ms      15.174us      95.754ms         2.11%      95.759ms       3.748us         25552  
                 execute_context_7(112)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      47.854ms         1.05%      47.854ms      47.854ms             1  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      45.727ms         1.01%      45.727ms      45.727ms             1  
                            _C::static_scaled_fp8_quant         0.33%      19.146ms         0.99%      58.245ms      12.542us      42.361ms         0.93%      42.370ms       9.124us          4644  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us      42.361ms         0.93%      42.361ms       9.122us          4644  
                                 _C::fused_add_rms_norm         0.80%      47.137ms         2.09%     123.150ms      13.259us      40.434ms         0.89%      40.438ms       4.354us          9288  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      40.434ms         0.89%      40.434ms       4.353us          9288  
              turboquant_write::quantize_write_kv_cache         0.53%      31.037ms         2.07%     121.549ms      26.173us      38.844ms         0.86%      38.852ms       8.366us          4644  
void turboquant::quantize_write_hadamard_scatter_ker...         0.00%       0.000us         0.00%       0.000us       0.000us      38.844ms         0.86%      38.844ms       4.182us          9288  
