cell,tpot_ms,ttft_mean_ms,output_throughput,delta_vs_baseline_pct
w1-s3-b4,17.464419720533094,764.2063167877495,42.91758437153175,0.2
w1-s2-b4,17.468923504838326,764.0520561835729,42.90359083317705,0.18
w1-s1-b4,17.484656089594164,901.5490225865506,40.99995026473365,0.09
w1-s2-b8,17.671664472757364,770.8539224113338,42.46431138628637,-0.98
w1-s1-b8,17.681487870776632,904.3072873610072,40.63928835018015,-1.04
w1-s3-b8,17.691544851097536,767.622274463065,42.46538753694104,-1.09
w2-s2-b8,17.846988873394924,766.7084706481546,42.20125904230688,-1.98
w2-s1-b8,17.85075103893407,759.3007408431731,42.30085303447464,-2.0
w2-s3-b8,17.866377007421544,764.5669446210377,42.19741505855149,-2.09
w2-s3-b4,18.21027979562719,762.7917230129242,41.62560857988925,-4.06
w2-s1-b4,18.2128146906772,768.8647510367446,41.570461424395596,-4.07
w2-s2-b4,18.21456878724706,768.6608656076714,41.53720492117916,-4.08
w4-s3-b4,18.54649060552456,773.7802023184486,40.89719151980304,-5.98
w4-s2-b4,18.569218476970246,768.8746695057489,40.973500558136344,-6.11
w4-s1-b4,18.5696433598953,767.9352984414436,40.93711604383998,-6.11
w4-s3-b8,18.958667889017406,767.5774241797626,40.30975743520444,-8.34
w4-s1-b8,18.968154034599312,764.316008775495,40.33493871841523,-8.39
w4-s2-b8,18.970816894837718,767.3566156299785,40.295348263825986,-8.4
w2-s1-b16,19.245279995049902,767.5108860130422,39.85165631917208,-9.97
w2-s3-b16,19.2494265309821,758.8771636947058,39.950120074793105,-10.0
w2-s2-b16,19.252114843093153,766.4125746814534,39.853012260088974,-10.01
w4-s1-b16,19.327890072897898,762.3916559969075,39.789904701084126,-10.45
w4-s2-b16,19.32952630766264,754.8591694794595,39.89960362428319,-10.45
w4-s3-b16,19.330511087786377,766.0974052269012,39.74099428762232,-10.46
w1-s1-b16,20.154634362277317,765.4329648357816,38.50024891465166,-15.17
w1-s2-b16,20.15521363758548,765.5012950417586,38.49710765636321,-15.17
w1-s3-b16,20.158346181398066,766.2168819224462,38.4783234349458,-15.19
